<TICKER>,<PER>,<DATE>,<TIME>,<LAST>,<VOL>
US1.ATVI,0,20200505,093420,67.245000000,100
US1.ATVI,0,20200505,093424,67.270000000,100
US1.ATVI,0,20200505,093425,67.270000000,100
US1.ATVI,0,20200505,093425,67.270000000,100
US1.ATVI,0,20200505,093429,67.260000000,100
US1.ATVI,0,20200505,093431,67.270000000,100
US1.ATVI,0,20200505,093436,67.250000000,100
US1.ATVI,0,20200505,093436,67.250000000,100
US1.ATVI,0,20200505,093437,67.250000000,100
US1.ATVI,0,20200505,093439,67.270000000,100
US1.ATVI,0,20200505,093444,67.260000000,100
US1.ATVI,0,20200505,093445,67.260000000,100
US1.ATVI,0,20200505,093448,67.250000000,100
US1.ATVI,0,20200505,093450,67.270000000,100
US1.ATVI,0,20200505,093451,67.270000000,100
US1.ATVI,0,20200505,093453,67.240000000,100
US1.ATVI,0,20200505,093459,67.230000000,100
US1.ATVI,0,20200505,093459,67.230000000,100
US1.ATVI,0,20200505,093459,67.210000000,100
US1.ATVI,0,20200505,093459,67.210000000,100
US1.ATVI,0,20200505,093459,67.220000000,100
US1.ATVI,0,20200505,093501,67.240000000,100
US1.ATVI,0,20200505,093503,67.250000000,100
US1.ATVI,0,20200505,093505,67.250000000,100
US1.ATVI,0,20200505,093512,67.230000000,200
US1.ATVI,0,20200505,093513,67.220000000,200
US1.ATVI,0,20200505,093514,67.210000000,100
US1.ATVI,0,20200505,093515,67.210000000,200
US1.ATVI,0,20200505,093515,67.210000000,200
US1.ATVI,0,20200505,093515,67.190000000,200
US1.ATVI,0,20200505,093515,67.190000000,100
US1.ATVI,0,20200505,093515,67.180000000,700
US1.ATVI,0,20200505,093515,67.150000000,800
US1.ATVI,0,20200505,093515,67.140000000,497
US1.ATVI,0,20200505,093515,67.170000000,100
US1.ATVI,0,20200505,093519,67.200000000,200
US1.ATVI,0,20200505,093519,67.220000000,100
US1.ATVI,0,20200505,093519,67.210000000,100
